"名称","简介","类型","地址"
"langchain","最流行的大模型应用开发框架","LLM应用开发","https://github.com/langchain-ai/langchain"
"llamaindex","LlamaIndex 是构建 LLM 应用程序的领先数据框架","LLM应用开发","https://www.llamaindex.ai/"
"autogen","AutoGen 是一个框架，它支持使用多个可以相互交流以解决任务的代理来开发 LLM 应用程序。AutoGen 代理可自定义、可交流，并可无缝允许人类参与。它们可以采用多种模式运行，这些模式结合了 LLM、人类输入和工具","LLM应用开发",
"autogen-studio","AutoGen Studio 是一款由 AutoGen 提供支持的 AI 应用程序（用户界面），可帮助您快速构建 AI 代理原型、增强技能、将其组合到工作流中并与之交互以完成任务。它建立在 AutoGen 框架之上，AutoGen 框架是用于构建 AI 代理的工具包。","LLM应用开发","https://github.com/microsoft/autogen"
"flowiseai","开源低代码工具，供开发人员构建自定义的 LLM 编排流程和 AI 代理","LLM应用开发","https://github.com/FlowiseAI/Flowise"
"ChatTTS","ChatTTS是一种用于日常对话的生成式语音模型","语音","https://github.com/2noise/ChatTTS"
"semantic-kernel","Semantic Kernel 是一个开源 SDK，可让您轻松构建可调用现有代码的代理。作为高度可扩展的 SDK，您可以将 Semantic Kernel 与OpenAI、Azure OpenAI、Hugging Face等模型结合使用！通过将现有的 C#、Python 和 Java 代码与这些模型相结合，您可以构建可回答问题并自动化流程的代理。","LLM应用开发","https://github.com/microsoft/semantic-kernel"
"Qdrant","Qdrant - 面向下一代 AI 的高性能、大规模矢量数据库。也可在云端使用","向量数据库","https://github.com/qdrant/qdrant"
"crewai","用于协调角色扮演、自主 AI 代理的框架。通过促进协作智能，CrewAI 使代理能够无缝协作，解决复杂的任务","LLM应用开发","https://github.com/joaomdmoura/crewai"
"Chroma","AI 原生开源嵌入数据库","向量数据库","https://github.com/chroma-core/chroma"
"dspy","DSPy：编程框架（而非提示基础模型）DSPy是一个使用语言模型 (LM) 和检索模型 (RM) 解决高级任务的框架。它统一了提示和微调 LM 的技术，以及使用检索和工具进行推理、自我改进和增强的方法。","LLM应用开发","https://github.com/stanfordnlp/dspy"
"Qwen","通义千问，阿里云提出的Qwen（通义千问）聊天和预训练大型语言模型","大模型","https://github.com/QwenLM/Qwen"
"MemGPT","创建具有长期记忆和自定义工具的 LLM 代理","LLM应用开发","https://github.com/cpacker/MemGPT"
"weaviate","Weaviate 是一个开源矢量数据库，可以存储对象和矢量，允许将矢量搜索与结构化过滤相结合，具有云原生数据库的容错和可扩展性","向量数据库","https://github.com/weaviate/weaviate"
"Yi","开发人员 @01-ai 从头开始训练的一系列大型语言模型","大模型","https://github.com/01-ai/Yi"